# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-18T05:29:24+08:00
# started_remote=2026-03-18T05:29:24+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 472248 505148 1133904    0    0     0    32  975 1533  1  1 99  0  0
 0  0      0 468484 505148 1133904    0    0     0    44 1452 2259 20  2 78  0  0
 0  0      0 468988 505148 1133904    0    0     0     0 1016 1609  1  1 98  0  0
 0  0      0 469912 505148 1133904    0    0     0     0  825 1340  0  1 99  0  0
 0  0      0 469696 505148 1133904    0    0     0     0  755 1254  0  0 99  0  0
 0  0      0 478344 505148 1133904    0    0     0    20  853 1353  1  1 98  0  0
 1  0      0 468484 505152 1133944    0    0     0    76 1597 2513  9  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 468436 505152 1133908    0    0     0     0 1143 1805  1  1 99  0  0
 0  0      0 468436 505152 1133908    0    0     0     0  997 1583  1  0 99  0  0
 0  0      0 475824 505152 1133876    0    0     0     0  827 1277  0  1 98  0  0
 0  0      0 475824 505152 1133908    0    0     0     4  721 1147  1  0 99  0  0
 0  0      0 464956 505152 1133844    0    0     0    52 1262 2000  9  2 89  0  0
 0  0      0 465208 505152 1133992    0    0     0     0 1024 1583  1  1 98  0  0
 0  0      0 465760 505152 1133908    0    0     0     0  823 1331  0  0 99  0  0
 0  0      0 466468 505152 1133908    0    0     0     0 1130 1773  2  1 97  0  0
 0  0      0 471476 505152 1133908    0    0     0     4 1119 1752  3  1 96  0  0
 0  0      0 465900 505156 1133820    0    0     0    56 1412 2217 23  2 75  0  0
 0  0      0 466404 505156 1133908    0    0     0     0 1058 1686  1  0 99  0  0
 0  0      0 467744 505156 1133908    0    0     0     0  996 1542  1  1 98  0  0
 0  0      0 476832 505156 1133908    0    0     0     0  735 1189  1  0 99  0  0
 0  0      0 476796 505156 1133908    0    0     0     0  986 1556  1  1 98  0  0
